Idx,Ratio,Train,Val,Stuff,"Color_Code (R,G,B)",Color_Code(hex),Color,Name,Class_Name (ja),Color_SVG,Color_Description,Color_Emoji
130,0.0004,246,22,0,"(214, 255, 0)",#D6FF00,,dishwasher,食器洗い機,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
131,0.0004,108,13,0,"(0, 204, 255)",#00CCFF,,screen,画面,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
132,0.0004,201,30,0,"(20, 0, 255)",#1400FF,,blanket,ブランケット,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(20%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
133,0.0004,285,21,0,"(255, 255, 0)",#FFFF00,,sculpture,彫刻,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るいグレー,⬜
134,0.0004,268,27,0,"(0, 153, 255)",#0099FF,,hood,フード,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
135,0.0003,1020,108,0,"(0, 41, 255)",#0029FF,,sconce,sconce,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,41%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
136,0.0003,1282,122,0,"(0, 255, 204)",#00FFCC,,vase,花瓶,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
137,0.0003,528,65,0,"(41, 0, 255)",#2900FF,,traffic light,信号機,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(41%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
138,0.0003,453,57,0,"(41, 255, 0)",#29FF00,,tray,トレイ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(41%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
139,0.0003,671,100,0,"(173, 0, 255)",#AD00FF,,ashcan,アシュカン,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
140,0.0003,397,44,0,"(0, 245, 255)",#00F5FF,,fan,ファン,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
141,0.0003,92,8,1,"(71, 0, 255)",#4700FF,,pier,桟橋,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(71%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
142,0.0003,228,18,0,"(122, 0, 255)",#7A00FF,,crt screen,CRT画面,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
143,0.0003,570,59,0,"(0, 255, 184)",#00FFB8,,plate,皿,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
144,0.0003,217,22,0,"(0, 92, 255)",#005CFF,,monitor,モニター,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,92%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
145,0.0003,206,19,0,"(184, 255, 0)",#B8FF00,,bulletin board,掲示板,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
146,0.0003,130,14,0,"(0, 133, 255)",#0085FF,,shower,シャワー,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
147,0.0003,178,28,0,"(255, 214, 0)",#FFD600,,radiator,ラジエーター,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
148,0.0002,504,57,0,"(25, 194, 194)",#19C2C2,,glass,ガラス,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(25%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るいグレー,⬜
149,0.0002,775,96,0,"(102, 255, 0)",#66FF00,,clock,クロック,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
150,0.0002,421,56,0,"(92, 0, 255)",#5C00FF,,flag,フラグ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(92%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
